state,state_code,year,minJanuary,minFebruary,minMarch,minApril,minMay,minJune,minJuly,minAugust,minSeptember,minOctober,minNovember,minDecember,maxJanuary,maxFebruary,maxMarch,maxApril,maxMay,maxJune,maxJuly,maxAugust,maxSeptember,maxOctober,maxNovember,maxDecember
Alabama,001,1958,29.2,26.6,40.6,50.9,58.5,66.6,68.8,67.3,63.7,49.4,42.9,31.3,50.2,49.8,61.3,75.7,83.2,89.2,89.2,90.5,86.6,75.1,68.9,54
Alabama,001,1959,30.3,39.2,39.5,49.8,60.5,65.9,68.5,68.2,64.3,57,38.1,35.8,55.8,59.5,64.7,74.8,85.1,87.3,91.1,92,85.1,75.4,64.6,57.9
Alabama,001,1960,35.3,33,34.3,50.5,54.7,65.1,68.8,68.6,64,52.6,39.7,30,53.6,55.7,56.3,77.6,80.9,89.5,93.4,89.6,85.2,77.6,67,53.6
Alabama,001,1961,27.9,40.5,45.6,45.6,55.2,63,66.7,66.7,62.8,46.8,43.8,37,50.4,63.5,69.2,72.1,80.3,84.8,89.2,88.1,86,77.3,67,57.1
Alabama,001,1962,32.2,42.5,39.5,47.5,60.8,65.4,68.6,67.9,62.5,52.2,39.3,31.4,52.9,68.4,62.3,72.6,89.8,88.6,93,92.6,86.6,78.9,63,54.4
Alabama,001,1963,27.6,28.7,44.7,53.6,59.2,65.8,67.2,67.4,60.7,49.8,40.2,26.3,50.6,55,71.8,78.1,84.1,88.4,88.9,91.3,85.4,81.6,65.9,48.8
Alabama,001,1964,31.2,31.7,41.4,53.3,58.2,66.2,68,67.5,62.4,46.8,43.6,37.8,53.7,53.4,66.9,76.8,84,90.7,88.2,88.7,86.7,72.8,69,58.9
Alabama,001,1965,34.2,34.4,40.6,53.5,58.4,64.8,68.1,67.4,64.6,49.3,44.7,34,58.8,58.2,62,78.6,86.8,86.6,89.5,89.3,84.9,74.8,69.1,59.3
Alabama,001,1966,30.6,35.8,40.6,50.6,58.1,61.8,69.1,66.9,62,48.7,41.7,35.2,49.3,57.5,65.9,76.2,80.6,86.6,92.7,88.1,83.9,74.3,67.2,56.4
Alabama,001,1967,34,32.9,44.8,54.6,56.3,64.9,65.7,65.2,57.5,45.8,36.8,40.3,56.8,55.6,72.6,81.2,81.3,87.8,86.4,85.3,80.1,75.6,64,60.6
